Category,Concept,T1,T2,Statement,M proportion correct,M response time (ms)
Astronomy,Planet,T,T,Planets are more massive than moons.,0.83,3943
Astronomy,Planet,F,F,Asteroids are more massive than planets.,0.79,3913
Astronomy,Planet,T,F,Planets are more massive than stars.,0.64,3129
Astronomy,Planet,F,T,Stars are more massive than planets.,0.61,3726
Astronomy,Star,T,T,The sun produces light.,0.99,2546
Astronomy,Star,F,F,The sun produces sound.,0.84,2906
Astronomy,Star,T,F,The moon produces light.,0.65,3111
Astronomy,Star,F,T,The sun produces gravity.,0.54,3348
Astronomy,Solar system,T,T,The moon revolves around the earth.,0.95,3121
Astronomy,Solar system,F,F,The sun revolves around the moon.,0.94,3271
Astronomy,Solar system,T,F,The sun revolves around the earth.,0.86,3889
Astronomy,Solar system,F,T,The earth revolves around the sun.,0.83,2948
Astronomy,Lunar phase,T,T,Phases of the moon are caused by changes in illumination.,0.95,3576
Astronomy,Lunar phase,F,F,Phases of the moon are caused by clouds.,0.93,3527
Astronomy,Lunar phase,T,F,Phases of the moon are caused by the earth's shadow.,0.39,5285
Astronomy,Lunar phase,F,T,Phases of the moon are caused by the moon's orbit.,0.68,4784
Astronomy,Season,T,T,A change in overall sunlight causes the seasons.,0.95,3855
Astronomy,Season,F,F,The earth's rotation causes the seasons.,0.67,4901
Astronomy,Season,T,F,The earth's distance from the sun causes the seasons.,0.49,4457
Astronomy,Season,F,T,The earth's tilt causes the seasons.,0.75,3590
Evolution,Common ancestry,T,T,Humans are more closely related to apes than monkeys.,0.87,4122
Evolution,Common ancestry,F,F,Whales are more closely related to plants than fish.,0.97,4204
Evolution,Common ancestry,T,F,Apes are more closely related to monkeys than humans.,0.41,4983
Evolution,Common ancestry,F,T,Whales are more closely related to humans than fish.,0.51,4563
Evolution,Phylogeny,T,T,Humans are descended from tree-dwelling creatures.,0.51,3557
Evolution,Phylogeny,F,F,Humans are descended from plants.,0.89,4089
Evolution,Phylogeny,T,F,Humans are descended from chimpanzees.,0.41,3448
Evolution,Phylogeny,F,T,Humans are descended from sea-dwelling creatures.,0.55,5035
Evolution,Variation,T,T,Evolution requires differential survival.,0.91,4044
Evolution,Variation,F,F,Evolution requires climate stability.,0.66,4052
Evolution,Variation,T,F,Evolution requires long periods of time.,0.09,4237
